placekey,year,month,home_cbg,visitors
222-222@8gd-kdb-7kf,2019,2,450130009012,5
222-222@8gd-kdb-7kf,2019,2,450130021063,5
222-222@8gd-kdb-7kf,2019,2,450539502025,5
222-222@8gd-kdb-7kf,2019,2,450130001003,6
222-222@8gd-kdb-7kf,2019,2,450130011011,6
222-222@8gd-kdb-7kf,2019,2,450130007001,7
222-222@8gd-kdb-7kf,2019,2,450130008002,7
222-222@8gd-kdb-7kf,2019,2,450539502024,7
222-222@8gd-kdb-7kf,2019,2,450130005032,8
222-222@8gd-kdb-7kf,2019,2,450130001002,8
222-222@8gd-kdb-7kf,2019,2,450130021062,8
222-222@8gd-kdb-7kf,2019,2,450539502022,8
222-222@8gd-kdb-7kf,2019,2,450130003001,8
222-222@8gd-kdb-7kf,2019,2,450130011023,8
222-222@8gd-kdb-7kf,2019,2,450130011013,8
222-222@8gd-kdb-7kf,2019,2,450130008001,8
222-222@8gd-kdb-7kf,2019,2,450130002002,9
222-222@8gd-kdb-7kf,2019,2,450130003002,9
222-222@8gd-kdb-7kf,2019,2,450499203002,9
222-222@8gd-kdb-7kf,2019,2,450130007005,9
222-222@8gd-kdb-7kf,2019,2,450130010002,9
222-222@8gd-kdb-7kf,2019,2,450130022021,10
222-222@8gd-kdb-7kf,2019,2,450539502023,10
222-222@8gd-kdb-7kf,2019,2,450130021032,10
222-222@8gd-kdb-7kf,2019,2,450130007002,11
222-222@8gd-kdb-7kf,2019,2,450130006001,11
222-222@8gd-kdb-7kf,2019,2,450130009023,11
222-222@8gd-kdb-7kf,2019,2,450130006002,11
222-222@8gd-kdb-7kf,2019,2,450130005012,12
222-222@8gd-kdb-7kf,2019,2,450539501001,13
222-222@8gd-kdb-7kf,2019,2,450130001001,13
222-222@8gd-kdb-7kf,2019,2,450130007006,14
222-222@8gd-kdb-7kf,2019,2,450130005022,14
222-222@8gd-kdb-7kf,2019,2,450130011021,15
222-222@8gd-kdb-7kf,2019,2,450130003003,15
222-222@8gd-kdb-7kf,2019,2,450130005013,17
222-222@8gd-kdb-7kf,2019,2,450130008003,17
222-222@8gd-kdb-7kf,2019,2,450539502012,17
222-222@8gd-kdb-7kf,2019,2,450130008004,19
222-222@8gd-kdb-7kf,2019,2,450130005033,21
222-222@8gd-kdb-7kf,2019,2,450130009011,21
222-222@8gd-kdb-7kf,2019,2,450130005011,22
222-222@8gd-kdb-7kf,2019,2,450130011012,23
222-222@8gd-kdb-7kf,2019,2,450130002003,24
222-222@8gd-kdb-7kf,2019,2,450130005031,25
222-222@8gd-kdb-7kf,2019,2,450130007004,26
222-222@8gd-kdb-7kf,2019,2,450130009021,30
222-222@8gd-kdb-7kf,2019,2,450130009031,30
222-222@8gd-kdb-7kf,2019,2,450130002001,31
222-222@8gd-kdb-7kf,2019,2,450130009022,33
